sourceCode,frequency,SNOMED,concept_id
Central Placenta Previa,5,15663008,4049740
ECV,502,240278000,4344624
Hydrops Fetalis,5,276508000,4173169
IUFD,167,237361005,4129846
Induction of Labor,2140,236958009,4032756
Marginal Placenta Previa,3,62531004,4269793
Non Reassuring Monitor,2527,312668007,314099
Oligohydramnios,923,59566000,434111
Other/Unknown,323,74964007,9177
PIH,48,48194001,4167493
Polyhydramnion,202,86203003,437623
Show,5,289573002,4124479
Show - הפרשה דמית,2240,289573002,4124479
Susp. Placental Abruption,6,415684004 + 415105001,4217851 + 198488
Suspected Big Baby,919,309738002,4149784
Suspected IUGR,1840,415684004 + 22033007,4217851 +  80204
Syncope,44,271594007,135360
Threatened Premature Labor,206,6383007,4273560
אחר,2759,74964007,9177
איזון סכרת הריון,4, 237622006 + 237625008,4034965 + 4034966
בחילות,48,422587007,31967
ביקורת,2345,185389009,4089050
בצקות,168,267038008,433595
דימום,3254,289530006,4129155
הוצאת Cerclage,164,149899004,4123182
החלטה על דרך יילוד,2782,289258004,4126390
היפוך עובר / ECV,56,240278000,4344624
הפחתה בתנועות עובר-F.M.A.S,5414,289432001,4129009
הפרעות קצב לב עובר,16,276512006,4172863
הפרשה,26,271939006,4155070
הקאות,623,422400008,441408
הרגשה כללית רעה,478,367391008,4272240
הריון מרובה עוברים,25,16356006,432969
הריון עודף,148,2.23E+13,45773507
השראת לידה,240,236958009,4032756
התייעצות ממיון,199,11429006,4014829
חבלה,1609,417746004,440921
חולשה,207,13791008,437113
חום,215,386661006,437663
חלבון בשתן,56,29738008,75650
חשד לזיהום עוברי,6,415684004 + 128270001,4217851 + 4134592
חשד לירידת מים,5525,415684004 + 44223004,4217851 + 194702
טשטוש ראיה,81,111516008,4006463
ייעוץ,1,11429006,4014829
ירידת מים,8136,44223004,194702
יתר לחץ דם,1660,38341003,316866
כאבי בטן,2558,21522001,200219
כאבי גב,719,161891005,134736
כאבי ראש,422,25064002,378253
כאבים בחזה,83,29857009,77670
כאבים ברום הבטן,197,83132003,4306292
לא חשה תנועות עובר,613,289432001,4129009
להיפוך עובר / ECV,4,289432001,4129009
להשגחה,67, 225415001,4021182
לחצים,29,426702003,4145372
לידה מחוץ לחדר לידה,232,445087001,40482051
לידת אמבולנס,93,473389001,43021745
לידת בית,66,445087001,40482051
לידת בית לא מתוכננת,121,445087001,40482051
לידת מכונית,40,445087001,40482051
מחלה ויראלית/שפעת,6,34014006,440029
מיעוט מי שפיר,602,59566000,434111
מעקב גדילה,489,241493005,4082672
מעקב הריון עודף,3264,2.2281E+13,45773507
מצג עכוז - בלידה,9,6096002,74698
מצוקה אמהית/ עוברית,2,106007006,444114
מרפאת סכרת,1,312888008,4210124
סוכרת GDM,368,11687002,4024659
סיום היריון,46,386639001,4297250
סיום הריון,55,386639001,4297250
פריחה/גרד,803,64144002,135618
צירים,267,289699001,4127696
צירים / לחצים,51984,289699001,4127696
צריבה במתן שתן,23,49650001,197684
קבלה ישירה לחדר לידה,1638,305386002,4128736
קבלה לניתוח קיסרי אלקטיבי,21,177141003,4075182
קבלה לניתוח קיסרי אלקטיבי -Elective C/S,3257,177141003,4075182
קבלה לצורך רישום אדמיניסטרטיבי,13,32485007,8715
קושי בנשימה,353,267036007,312437
ריבוי מי שפיר,164,86203003,437623
שינויים במחיקה/פתיחה צוארית,718,609133009,43531419
שליית פתח מדממת,5,198903000,196751
שלשולים,412,62315008,196523
שעול,58,49727002,254761
תאונת דרכים,191, 418399005,435134
תכיפות במתן שתן,7, 75088002,200845
תלונות אורינריות,316,47252008,4186437
