sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:Addition description,matchScore,mappingStatus,targetConceptId,targetConceptName,targetVocabularyId,targetDomainId,targetStandardConcept,targetChildCount,targetParentCount,targetConceptClassId,targetConceptCode,targetValidStartDate,targetValidEndDate,targetInvalidReason
282.49.9,THALASSEMIA,37,,,1,APPROVED,30978,Thalassemia,SNOMED,Condition,S,15,3,Clinical Finding,40108008,20020131,20991231,
765.24.01,PREMATURITY 27 WEEKS,16,,,0.8,APPROVED,37018684,Baby premature 27 weeks,SNOMED,Condition,S,0,1,Clinical Finding,1.59E+16,20160131,20991231,
448.1.02,NEVUS NON NEOPLASTIC,1,,,0.7,APPROVED,135287,Non-neoplastic nevus,SNOMED,Condition,S,1,1,Clinical Finding,195381005,20020131,20991231,
576.8.08,CHOLESTASIS,155,,,1,APPROVED,4143915,Cholestasis,SNOMED,Condition,S,5,1,Clinical Finding,33688009,20020131,20991231,
282.49.2,THALASSEMIA - MAJOR,3,,,0.87,APPROVED,4327045,Thalassemia major,SNOMED,Condition,S,0,1,Clinical Finding,75451007,20020131,20991231,
765.24.02,PREMATURITY 28 WEEKS,21,,,0.79,APPROVED,37016216,Baby premature 28 weeks,SNOMED,Condition,S,0,1,Clinical Finding,1.58E+16,20160131,20991231,
607.89.01,CHORDEE,20,,,1,APPROVED,4176754,Chordee,SNOMED,Condition,S,1,3,Clinical Finding,4287008,20020131,20991231,
289.81.0,ANTICARDIOLIPIN ANTIBODY SYNDROME,2,,,0.82,APPROVED,4098292,Antiphospholipid syndrome,SNOMED,Condition,S,6,2,Clinical Finding,26843008,20020131,20991231,
765.25.01,PREMATURITY 29 WEEKS,19,,,0.81,APPROVED,37016217,Baby premature 29 weeks,SNOMED,Condition,S,0,1,Clinical Finding,1.58E+16,20160131,20991231,
282.49.3,THALASSEMIA - MINOR,78,,,0.81,APPROVED,4023612,Heterozygous thalassemia,SNOMED,Condition,S,2,1,Clinical Finding,19442009,20020131,20991231,
286.9.09,coagulopathy,8,,,1,APPROVED,432585,Blood coagulation disorder,SNOMED,Condition,S,32,3,Clinical Finding,64779008,20020131,20991231,
765.25.02,PREMATURITY 30 WEEKS,24,,,0.76,APPROVED,37016218,Baby premature 30 weeks,SNOMED,Condition,S,0,1,Clinical Finding,1.58E+16,20160131,20991231,
287.1.02,THROMBOCYTASTHENIA,1,,,0.76,APPROVED,4332151,Platelet disorder,SNOMED,Condition,S,7,2,Clinical Finding,22716005,20020131,20991231,
571.49.3,CHRONIC AUTOIMMUNE HEPATITIS,1,,,1,APPROVED,36687200,Chronic autoimmune hepatitis,SNOMED,Condition,S,0,3,Clinical Finding,1.61E+16,20190131,20991231,
286.3.02,FACTOR I DEFICIENCY (FIBRINOGEN,1,,,0.76,APPROVED,4120779,Factor I deficiency,SNOMED,Condition,S,1,1,Clinical Finding,234621005,20020131,20991231,
765.26.01,PREMATURITY 31 WEEKS,38,,,0.79,APPROVED,37016213,Baby premature 31 weeks,SNOMED,Condition,S,0,1,Clinical Finding,1.56E+16,20160131,20991231,
70.32,CHRONIC HEPATITIS B,2,,,0.95,APPROVED,194574,Chronic type B viral hepatitis,SNOMED,Condition,S,5,2,Clinical Finding,61977001,20020131,20991231,
238.71.9,THROMBOCYTOSIS,16,,,1,APPROVED,4280071,Thrombocytosis,SNOMED,Condition,S,5,3,Clinical Finding,6631009,20020131,20991231,
765.26.02,PREMATURITY 32 WEEKS,61,,,0.78,APPROVED,37018683,Baby premature 32 weeks,SNOMED,Condition,S,0,1,Clinical Finding,1.56E+16,20160131,20991231,
765.27.01,PREMATURITY 33 WEEKS,82,,,0.79,APPROVED,37018889,Baby premature 33 weeks,SNOMED,Condition,S,0,1,Clinical Finding,1.56E+16,20160131,20991231,
70.54,CHRONIC HEPATITIS C,1,,,1,APPROVED,198964,Chronic hepatitis C,SNOMED,Condition,S,9,2,Clinical Finding,128302006,20020131,20991231,
286.3.03,FACTOR II DEFICIENCY (PROTHROMBIN)(DYSPROTHROMBINEMIA,16,,,0.53,APPROVED,4253058,Factor II deficiency,SNOMED,Condition,S,2,2,Clinical Finding,73975000,20020131,20991231,
659.71.2,NON REASSURING FETAL HEART RATE OF RHYTHM DELIVERED,448,,,0.69,APPROVED,312733,"Abnormal fetal heart beat, not clear if noted before OR after onset of labor in liveborn infant",SNOMED,Condition,S,0,1,Clinical Finding,231958008,20020131,20991231,
659.71.2,NON REASSURING FETAL HEART RATE OF RHYTHM DELIVERED,448,,,0.69,APPROVED,314099,Abnormal fetal heart rate,SNOMED,Condition,S,5,2,Clinical Finding,312668007,20020131,20991231,
