display,Count of,concept,cp
Brow Presentation,6,8014007,4213449
Compound Presentation,656,124736009,4052737
Face Presentation-Mento Anterior,15, 249084004,4088595
Face Presentation-Mento Posterior,3,249086002,4088596
Shoulder Presentation,3,23954006,4034308
Transverse/Oblique Lie-Back Up,9,288203005,4125934
Unstable Lie,2,86356004,79091
Vertex,54349,70028003,4289168
Vertex - L.O.A,75,11409005,4015233
Vertex - L.O.P,19,31477000,4135571
Vertex - L.O.T,22,18905000,4077919
Vertex - O.A. or O.T,3,90381008,4234865
Vertex - O.P,1677,37235006,4291026
Vertex - OA,5307,90381008,4234865
Vertex - P.O.P.,205,37235006,4291026
Vertex - R.O.A,35,39889007,4218535
Vertex - R.O.P,20, 36547009,4274418
Vertex - R.O.T,30,37040008,4286278
אלכסוני,28,63750008,4274334
לא ידוע,92,15028002,4032626
מצג פנים,35,21882006,4071437
מצח,16,8014007,4213449
עכוז,2199,6096002,74698
עכוז COMPLETE BREECH,112,49168004,4170537
עכוז FRANK BREECH,65,18559007,4089329
עכוז INCOMPLETE BREECH,15,38049006,4244226
פנים סנטר לאחור,3,249086002,4088596
פנים סנטר לפנים,15, 249084004,4088595
ראש,273,70028003,4289168
רגליים,281, 249097002,4096398
רוחב,241,73161006,4218938
רוחב גב למטה,35,73161006,4218938
רוחב גב למעלה,40,73161006,4218938
